Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Zone,,,,,,,,,,,,,,,
INB3_5,-33.6837,114.97935,20130101,0:00:00,Ngari Capes,No-take,INB3,29.1,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
INB4_1,-33.69027,114.97627,20130101,0:00:00,Ngari Capes,No-take,INB4,32.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
INB4_2,-33.68875,114.97171,20130101,0:00:00,Ngari Capes,No-take,INB4,34.4,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,2
INB4_3,-33.6906,114.98126,20130101,0:00:00,Ngari Capes,No-take,INB4,21.3,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
INB4_4,-33.69113,114.97036,20130101,0:00:00,Ngari Capes,No-take,INB4,31.6,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
INB4_5,-33.69241,114.97469,20130101,13:43:00,Ngari Capes,No-take,INB4,24.7,,Yes,No,Sanctuary Zone,,,,,,,,,,,,,,,5
INB5_1,-33.69791,114.9642,20130101,0:00:00,Ngari Capes,No-take,INB5,33.4,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,1
INB5_2,-33.69956,114.96293,20130101,11:50:00,Ngari Capes,No-take,INB5,33.6,,Yes,No,Sanctuary Zone,,,,,,,,,,,,,,,2
INB5_3,-33.69606,114.9648,20130101,0:00:00,Ngari Capes,No-take,INB5,30.6,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,3
INB5_4,-33.70042,114.9666,20130101,0:00:00,Ngari Capes,No-take,INB5,29.8,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,4
INB5_5,-33.69773,114.96893,20130101,0:00:00,Ngari Capes,No-take,INB5,27,,Yes,Yes,Sanctuary Zone,,,,,,,,,,,,,,,5
