OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
GUZ(SC)S2-R1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0764403320	-0.1151607059	4.1810506155	0.0039688714	0.0001097156	0.0000000000	0.0005059840	-0.0018051650	0.0000000000	-0.0007344926	339.0299977323	0.0000000000	0.0000000000	0.3915435992	8.1131395559	-1.9446529730	mm
FISPZS3-R4	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0244475944	-0.0836300625	4.1867390268	0.0029587629	0.0003246481	0.0000000000	0.0005586294	-0.0014941992	0.0000000000	0.0001193021	-340.1014059592	0.0000000000	0.0000000000	-0.4090241330	-7.3347810057	1.3809895442	mm
FISPZS3-R4	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0810691165	0.0682187780	4.1980839939	0.0023166323	0.0009406313	0.0000000000	0.0015092089	0.0008890765	0.0000000000	-0.0005940655	340.1014059592	0.0000000000	0.0000000000	0.4090241330	5.2023433137	1.1518837423	mm
FISPZS2-R4	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0704477346	-0.0094976233	4.1640792782	0.0040685934	-0.0004319685	0.0000000000	0.0010533884	-0.0004153149	0.0000000000	-0.0003252730	-335.9166551322	0.0000000000	0.0000000000	0.4339653004	-6.7698295278	-1.7467686110	mm
FISPZS2-R4	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0568530201	-0.1043087314	4.5030264363	0.0028118076	0.0002436281	0.0000000000	0.0002874923	-0.0014048626	0.0000000000	-0.0002117774	335.9166551322	0.0000000000	0.0000000000	-0.4339653004	8.7812868840	4.9053247024	mm
FISZS2-R1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0235031678	-0.0309796065	4.1775405100	0.0031285863	0.0009037296	0.0000000000	0.0012745394	-0.0001736662	0.0000000000	-0.0002647544	-334.4699593761	0.0000000000	0.0000000000	0.0083814765	-7.2322939457	2.5082560881	mm
FISZS2-R1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1544110196	-0.0012067398	4.1668753266	0.0041896183	0.0002713370	0.0000000000	0.0016493909	-0.0000481832	0.0000000000	0.0013489428	334.4699593761	0.0000000000	0.0000000000	-0.0083814765	7.0876946090	0.0425540715	mm
FISPZS4-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0706906418	-0.0123353433	4.1679907267	0.0036294700	0.0001307186	0.0000000000	0.0005597894	-0.0002089707	0.0000000000	-0.0000675376	-335.6393979559	0.0000000000	0.0000000000	-0.5088891610	-7.5078038502	-2.2341806552	mm
FISPZS4-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0786582354	-0.0579116105	4.1863551135	0.0033952484	0.0003194824	0.0000000000	0.0008250546	-0.0012474052	0.0000000000	0.0000140972	335.6393979559	0.0000000000	0.0000000000	0.5088891610	5.1609382193	-2.1590598761	mm
JV_032	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0244475944	-0.0836300625	4.1867390268	0.0029587629	0.0003246481	0.0000000000	0.0005586294	-0.0014941992	0.0000000000	0.0001193021	-340.1014059592	0.0000000000	0.0000000000	-0.4090241330	-7.3347810057	1.3809895442	mm
