Sample,Family,Genus,Species,Count
JBMP44-1,Labridae,Coris,auricularis,4
JBMP44-1,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP44-1,Labridae,Choerodon,rubescens,1
JBMP44-1,Enoplosidae,Enoplosus,armatus,2
JBMP44-1,Chaetodontidae,Chelmonops,curiosus,1
JBMP44-1,Apogonidae,Ostorhinchus,victoriae,1
JBMP44-1,Kyphosidae,Kyphosus,cornelii,1
JBMP44-1,Kyphosidae,Kyphosus,sydneyanus,1
JBMP44-1,Pomacentridae,Parma,occidentalis,1
JBMP44-2,Labridae,Notolabrus,parilus,4
JBMP44-2,Labridae,Coris,auricularis,37
JBMP44-2,Labridae,Choerodon,rubescens,1
JBMP44-2,Chaetodontidae,Chelmonops,curiosus,1
JBMP44-2,Kyphosidae,Kyphosus,cornelii,1
JBMP44-2,Kyphosidae,Kyphosus,sydneyanus,1
JBMP44-2,Pomacentridae,Parma,occidentalis,2
JBMP44-2,Labridae,Bodianus,frenchii,1
JBMP44-2,Mullidae,Upeneichthys,vlamingii,1
JBMP44-2,Chaetodontidae,Chaetodon,assarius,1
JBMP44-2,Pomacentridae,Parma,mccullochi,2
JBMP44-3,Labridae,Notolabrus,parilus,1
JBMP44-3,Kyphosidae,Kyphosus,sydneyanus,10
JBMP44-3,Kyphosidae,Kyphosus,cornelii,20
JBMP44-3,Odacidae,Olisthops,cyanomelas,2
JBMP44-3,Mullidae,Parupeneus,spilurus,1
JBMP44-3,Labridae,Coris,auricularis,43
JBMP44-3,Scorpididae,Neatypus,obliquus,9
JBMP44-3,Chaetodontidae,Chaetodon,assarius,1
JBMP44-3,Cheilodactylidae,Cheilodactylus,rubrolabiatus,1
JBMP44-3,Pomacentridae,Parma,mccullochi,1
JBMP44-4,Labridae,Notolabrus,parilus,3
JBMP44-4,Labridae,Coris,auricularis,25
JBMP44-4,Haemulidae,Plectorhinchus,flavomaculatus,1
JBMP44-4,Pomacentridae,Pomacentrus,milleri,3
JBMP44-4,Labridae,Choerodon,rubescens,2
JBMP44-4,Chaetodontidae,Chelmonops,curiosus,1
