"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP35-3",-30.34666634,115.0039978,"20061012","Jurien Bay","Sanctuary","35","2","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP35-4",-30.34666634,115.0039978,"20061012","Jurien Bay","Sanctuary","35","2","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP36-1",-30.34609985,115.0375671,"20061023","Jurien Bay","Sanctuary","36","5","Graham Edgar",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP36-2",-30.34609985,115.0375671,"20061023","Jurien Bay","Sanctuary","36","5","Graham Edgar",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP36-3",-30.34609985,115.0375671,"20061023","Jurien Bay","Sanctuary","36","5","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP36-4",-30.34609985,115.0375671,"20061023","Jurien Bay","Sanctuary","36","5","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP37-1",-30.83113289,115.1910477,"20061018","Jurien Bay","Sanctuary","37","5","Arianna Polacheck","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP37-2",-30.83113289,115.1910477,"20061018","Jurien Bay","Sanctuary","37","5","Arianna Polacheck","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP37-3",-30.83113289,115.1910477,"20061018","Jurien Bay","Sanctuary","37","5","Dave Lenel","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP37-4",-30.83113289,115.1910477,"20061018","Jurien Bay","Sanctuary","37","5","Dave Lenel","Target Rock",2006,"11:00:00","No-take","Yes","Yes"
"JBMP38-1",-30.79918289,115.1869507,"20061018","Jurien Bay","General Use","38","5","Arianna Polacheck","Target Rock",2006,"11:00:00","Fished","Yes","Yes"
"JBMP38-2",-30.79918289,115.1869507,"20061018","Jurien Bay","General Use","38","5","Arianna Polacheck","Target Rock",2006,"11:00:00","Fished","Yes","Yes"
"JBMP38-3",-30.79918289,115.1869507,"20061018","Jurien Bay","General Use","38","5","Dave Lenel","Target Rock",2006,"11:00:00","Fished","Yes","Yes"
"JBMP38-4",-30.79918289,115.1869507,"20061018","Jurien Bay","General Use","38","5","Dave Lenel","Target Rock",2006,"11:00:00","Fished","Yes","Yes"
"JBMP39-1",-30.67821693,115.1060028,"20061022","Jurien Bay","Sanctuary","39","3","Kev Crane",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP39-2",-30.67821693,115.1060028,"20061022","Jurien Bay","Sanctuary","39","3","Kev Crane",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP39-3",-30.67821693,115.1060028,"20061022","Jurien Bay","Sanctuary","39","3","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP39-4",-30.67821693,115.1060028,"20061022","Jurien Bay","Sanctuary","39","3","Dave Lenel",NA,2006,"11:00:00","No-take","Yes","Yes"
"JBMP4-1",-30.43376732,114.999733,"20061012","Jurien Bay","SP Scientific Reference","4","5","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP4-2",-30.43376732,114.999733,"20061012","Jurien Bay","SP Scientific Reference","4","5","Arianna Polacheck","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP4-3",-30.43376732,114.999733,"20061012","Jurien Bay","SP Scientific Reference","4","5","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP4-4",-30.43376732,114.999733,"20061012","Jurien Bay","SP Scientific Reference","4","5","Dave Lenel","Hill River",2006,"11:00:00","No-take","Yes","Yes"
"JBMP40-1",-30.76675034,115.1419678,"20061016","Jurien Bay","SP Scientific Reference","40","10","Arianna Polacheck","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP40-2",-30.76675034,115.1419678,"20061016","Jurien Bay","SP Scientific Reference","40","10","Arianna Polacheck","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP40-3",-30.76675034,115.1419678,"20061016","Jurien Bay","SP Scientific Reference","40","10","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP40-4",-30.76675034,115.1419678,"20061016","Jurien Bay","SP Scientific Reference","40","10","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP41-1",-30.712017,115.113217,"20061022","Jurien Bay","SP Scientific Reference","41","10","Kev Crane","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP41-2",-30.712017,115.113217,"20061022","Jurien Bay","SP Scientific Reference","41","10","Kev Crane","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
