OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JMP-S41	277	S41_L.MP4	53174	S41_R.MP4	52221	822.19633	5	1.27933	-1245.71548	-2.15529	-2506.97116	3.20315	0.93031	6.48414	1.28408	2799.41353	26.42530	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	278	S41_L.MP4	53174	S41_R.MP4	52221	822.19633	5	1.27933	-1622.53943	-98.50925	-4893.34746	9.50597	1.96776	29.13919	3.50548	5156.27653	18.39872	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	279	S41_L.MP4	53174	S41_R.MP4	52221	822.19633	5	1.27933	-1000.50845	-391.80096	-2726.26324	3.24190	1.58570	8.74242	0.59181	2930.36455	21.63229	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	282	S41_L.MP4	57726	S41_R.MP4	56773	823.71367	6	0.03867	-570.39524	-404.54996	-2315.57844	1.88176	1.46984	6.90571	0.16342	2418.86645	16.99586	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	287	S41_L.MP4	58015	S41_R.MP4	57062	823.81000	6	0.13500	652.07931	-13.86788	-2509.55846	2.25564	1.00734	8.09642	1.40014	2592.92950	14.57927	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	289	S41_L.MP4	58022	S41_R.MP4	57069	823.81233	6	0.13733	-13.63508	-76.73496	-2465.45217	1.02612	1.04128	8.52030	0.51892	2466.68371	2.13432	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	293	S41_L.MP4	58320	S41_R.MP4	57367	823.91167	6	0.23667	1158.33136	885.43542	-3433.01186	4.60121	3.79124	13.68841	2.73647	3729.78522	22.81297	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	298	S41_L.MP4	58655	S41_R.MP4	57702	824.02333	6	0.34833	-549.65371	-311.63767	-3061.16213	2.50092	1.71850	12.56394	0.03891	3125.69205	11.82776	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	299	S41_L.MP4	58655	S41_R.MP4	57702	824.02333	6	0.34833	-415.12879	-202.24307	-3668.36060	2.51637	1.75287	18.46752	0.22835	3697.31033	7.32421	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	303	S41_L.MP4	59013	S41_R.MP4	58060	824.14267	6	0.46767	316.06941	-758.27906	-2887.81974	1.64110	3.04399	11.16668	3.42017	3002.39735	16.18300	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	306	S41_L.MP4	59730	S41_R.MP4	58777	824.38167	6	0.70667	633.55679	-457.90036	-1660.24636	1.30815	1.02393	3.10799	0.19198	1835.07083	25.40629	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
