"Sample","Family","Genus","Species","Count"
"JBMP11-3","Kyphosidae","Kyphosus","cornelii",7
"JBMP11-4","Pomacentridae","Parma","mccullochi",1
"JBMP11-4","Labridae","Coris","auricularis",6
"JBMP11-4","Labridae","Coris","auricularis",5
"JBMP11-4","Labridae","Halichoeres","brownfieldi",1
"JBMP11-4","Labridae","Halichoeres","brownfieldi",2
"JBMP11-4","Chaetodontidae","Chelmonops","curiosus",2
"JBMP11-4","Monodactylidae","Schuettea","woodwardi",5
"JBMP11-4","Labridae","Notolabrus","parilus",1
"JBMP11-4","Scorpididae","Scorpis","georgiana",1
"JBMP11-4","Scorpididae","Scorpis","georgiana",1
"JBMP11-4","Labridae","Ophthalmolepis","lineolatus",2
"JBMP11-4","Pomacentridae","Parma","mccullochi",1
"JBMP11-4","Pomacentridae","Parma","mccullochi",6
"JBMP11-4","Pomacentridae","Parma","mccullochi",6
"JBMP11-4","Labridae","Coris","auricularis",3
"JBMP11-4","Labridae","Coris","auricularis",7
"JBMP11-4","Labridae","Coris","auricularis",4
"JBMP11-4","Chaetodontidae","Chelmonops","curiosus",1
"JBMP11-4","Labridae","Notolabrus","parilus",2
"JBMP11-4","Labridae","Notolabrus","parilus",5
"JBMP11-4","Scorpididae","Scorpis","georgiana",1
"JBMP11-4","Pomacentridae","Parma","occidentalis",1
"JBMP11-4","Labridae","Pictilabrus","laticlavius",1
"JBMP11-4","Labridae","Ophthalmolepis","lineolatus",1
"JBMP11-4","Pomacentridae","Parma","mccullochi",1
"JBMP11-4","Labridae","Coris","auricularis",15
"JBMP11-4","Labridae","Halichoeres","brownfieldi",10
"JBMP11-4","Monodactylidae","Schuettea","woodwardi",15
"JBMP11-4","Labridae","Notolabrus","parilus",4
"JBMP11-4","Labridae","Notolabrus","parilus",7
"JBMP11-4","Pseudochromidae","Labracinus","lineatus",1
"JBMP11-4","Pomacentridae","Parma","occidentalis",2
"JBMP11-4","Kyphosidae","Kyphosus","sydneyanus",1
"JBMP11-4","Kyphosidae","Kyphosus","sydneyanus",1
"JBMP11-4","Pomacentridae","Parma","mccullochi",1
"JBMP11-4","Labridae","Coris","auricularis",8
"JBMP11-4","Labridae","Halichoeres","brownfieldi",18
"JBMP11-4","Labridae","Notolabrus","parilus",11
"JBMP12-1","Odacidae","Olisthops","cyanomelas",1
"JBMP12-1","Labridae","Halichoeres","brownfieldi",1
"JBMP12-1","Labridae","Halichoeres","brownfieldi",1
"JBMP12-1","Chaetodontidae","Chelmonops","curiosus",1
"JBMP12-1","Labridae","Notolabrus","parilus",1
"JBMP12-1","Apogonidae","Ostorhinchus","victoriae",1
"JBMP12-1","Kyphosidae","Kyphosus","cornelii",5
"JBMP12-1","Labridae","Thalassoma","septemfasciatum",1
"JBMP12-1","Odacidae","Heteroscarus","acroptilus",1
"JBMP12-1","Odacidae","Olisthops","cyanomelas",3
"JBMP12-1","Odacidae","Olisthops","cyanomelas",1
"JBMP12-1","Pomacentridae","Parma","mccullochi",2
"JBMP12-1","Pomacentridae","Parma","mccullochi",4
"JBMP12-1","Labridae","Coris","auricularis",1
"JBMP12-1","Labridae","Notolabrus","parilus",2
"JBMP12-1","Labridae","Notolabrus","parilus",1
"JBMP12-1","Labridae","Notolabrus","parilus",1
"JBMP12-1","Pomacentridae","Parma","occidentalis",2
"JBMP12-1","Kyphosidae","Kyphosus","cornelii",5
"JBMP12-1","Odacidae","Olisthops","cyanomelas",1
"JBMP12-1","Labridae","Coris","auricularis",1
"JBMP12-1","Labridae","Halichoeres","brownfieldi",26
"JBMP12-1","Labridae","Pictilabrus","viridis",1
"JBMP12-1","Labridae","Notolabrus","parilus",8
"JBMP12-1","Pseudochromidae","Labracinus","lineatus",1
"JBMP12-1","Pomacentridae","Parma","occidentalis",1
"JBMP12-1","Apogonidae","Ostorhinchus","victoriae",1
"JBMP12-1","Kyphosidae","Kyphosus","cornelii",40
"JBMP12-1","Kyphosidae","Kyphosus","cornelii",1
"JBMP12-1","Labridae","Thalassoma","septemfasciatum",1
"JBMP12-1","Pomacentridae","Pomacentrus","milleri",3
"JBMP12-1","Pempherididae","Pempheris","klunzingeri",1
"JBMP12-1","Labridae","Coris","auricularis",1
"JBMP12-1","Cheilodactylidae","Cheilodactylus","rubrolabiatus",1
"JBMP12-1","Labridae","Notolabrus","parilus",3
"JBMP12-1","Pomacentridae","Parma","occidentalis",2
"JBMP12-1","Kyphosidae","Kyphosus","cornelii",10
"JBMP12-1","Kyphosidae","Kyphosus","cornelii",35
"JBMP12-1","Pomacentridae","Pomacentrus","milleri",4
"JBMP12-2","Odacidae","Olisthops","cyanomelas",1
"JBMP12-2","Pomacentridae","Parma","mccullochi",1
"JBMP12-2","Monodactylidae","Schuettea","woodwardi",55
"JBMP12-2","Labridae","Notolabrus","parilus",6
"JBMP12-2","Labridae","Notolabrus","parilus",6
"JBMP12-2","Labridae","Notolabrus","parilus",2
"JBMP12-2","Kyphosidae","Kyphosus","cornelii",7
"JBMP12-2","Odacidae","Olisthops","cyanomelas",2
"JBMP12-2","Pseudochromidae","Labracinus","lineatus",1
"JBMP12-2","Apogonidae","Ostorhinchus","victoriae",1
"JBMP12-2","Pomacentridae","Pomacentrus","milleri",3
"JBMP12-2","Labridae","Coris","auricularis",2
"JBMP12-2","Labridae","Halichoeres","brownfieldi",52
"JBMP12-2","Labridae","Notolabrus","parilus",6
"JBMP12-2","Labridae","Notolabrus","parilus",5
"JBMP12-2","Pseudochromidae","Labracinus","lineatus",1
"JBMP12-2","Scorpididae","Scorpis","georgiana",3
"JBMP12-2","Kyphosidae","Kyphosus","cornelii",5
"JBMP12-2","Pomacentridae","Pomacentrus","milleri",3
"JBMP12-2","Pomacentridae","Parma","mccullochi",8
"JBMP12-2","Labridae","Coris","auricularis",2
"JBMP12-2","Labridae","Halichoeres","brownfieldi",8
"JBMP12-2","Labridae","Notolabrus","parilus",1
"JBMP12-2","Kyphosidae","Kyphosus","cornelii",55
"JBMP12-2","Pomacentridae","Pomacentrus","milleri",2
"JBMP12-3","Pomacentridae","Parma","mccullochi",3
"JBMP12-3","Labridae","Coris","auricularis",1
"JBMP12-3","Labridae","Halichoeres","brownfieldi",1
"JBMP12-3","Labridae","Notolabrus","parilus",10
"JBMP12-3","Pomacentridae","Parma","occidentalis",2
"JBMP12-3","Odacidae","Olisthops","cyanomelas",1
"JBMP12-3","Pomacentridae","Parma","mccullochi",5
"JBMP12-3","Labridae","Coris","auricularis",1
"JBMP12-3","Labridae","Notolabrus","parilus",7
"JBMP12-3","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP12-3","Pseudochromidae","Labracinus","lineatus",1
"JBMP12-3","Labridae","Thalassoma","lutescens",1
"JBMP12-3","Pomacentridae","Parma","mccullochi",8
"JBMP12-3","Labridae","Coris","auricularis",1
"JBMP12-3","Labridae","Halichoeres","brownfieldi",1
"JBMP12-3","Chaetodontidae","Chelmonops","curiosus",2
"JBMP12-3","Plesiopidae","Paraplesiops","meleagris",1
"JBMP12-3","Labridae","Notolabrus","parilus",3
"JBMP12-3","Pseudochromidae","Labracinus","lineatus",1
"JBMP12-3","Pomacentridae","Parma","occidentalis",2
"JBMP12-3","Apogonidae","Ostorhinchus","victoriae",4
"JBMP12-3","Odacidae","Olisthops","cyanomelas",1
