"","Family","Sector","Year","Site","mean"
"419","Pocilloporidae","Southern Sector",2016,"CBLN",0.4
"420","Pocilloporidae","Southern Sector",2016,"CBOB",0.4
"421","Pocilloporidae","Southern Sector",2017,"CBBR",0.333333333333333
"422","Pocilloporidae","Southern Sector",2017,"CBIL",0.466666666666667
"423","Pocilloporidae","Southern Sector",2017,"CBLN",0.733333333333333
"424","Pocilloporidae","Southern Sector",2017,"CBOB",0.2
"425","Pocilloporidae","Southern Sector",2018,"CBBR",0.6
"426","Pocilloporidae","Southern Sector",2018,"CBIL",0.266666666666667
"427","Pocilloporidae","Southern Sector",2018,"CBLN",0.866666666666667
"428","Pocilloporidae","Southern Sector",2018,"CBOB",0.4
"429","Pocilloporidae","Southern Sector",2019,"CBBR",0.333333333333333
"430","Pocilloporidae","Southern Sector",2019,"CBIL",0.6
"431","Pocilloporidae","Southern Sector",2019,"CBLN",0.666666666666667
"432","Pocilloporidae","Southern Sector",2019,"CBOB",0.4
"433","Pocilloporidae","Southern Sector",2020,"CBBR",0.25
"434","Pocilloporidae","Southern Sector",2020,"CBIL",1.66666666666667
"435","Pocilloporidae","Southern Sector",2020,"CBLN",0.785714285714286
"436","Pocilloporidae","Southern Sector",2020,"CBOB",0.6
"437","Pocilloporidae","Southern Sector",2021,"CBBR",0.5
"438","Pocilloporidae","Southern Sector",2021,"CBIL",0.4
"439","Pocilloporidae","Southern Sector",2021,"CBLN",0.866666666666667
"440","Pocilloporidae","Southern Sector",2021,"CBOB",0.2
"441","Poritidae","Eastern Sector",2011,"BUNBR",0
"442","Poritidae","Eastern Sector",2011,"BUNN",0
"443","Poritidae","Eastern Sector",2011,"BUNN+",0
"444","Poritidae","Eastern Sector",2012,"BUNBR",0
"445","Poritidae","Eastern Sector",2012,"BUNN",0
"446","Poritidae","Eastern Sector",2012,"BUNN+",0
"447","Poritidae","Eastern Sector",2013,"BUNBR",0
"448","Poritidae","Eastern Sector",2013,"BUNN",0
"449","Poritidae","Eastern Sector",2013,"BUNN+",0
"450","Poritidae","Eastern Sector",2014,"BUNBR",0.0666666666666667
"451","Poritidae","Eastern Sector",2014,"BUNN",0
"452","Poritidae","Eastern Sector",2014,"BUNN+",0
"453","Poritidae","Eastern Sector",2015,"BUNBR",0
"454","Poritidae","Eastern Sector",2015,"BUNN",0
"455","Poritidae","Eastern Sector",2015,"BUNN+",0
"456","Poritidae","Eastern Sector",2016,"BUNBR",0.0666666666666667
"457","Poritidae","Eastern Sector",2016,"BUNN",0
"458","Poritidae","Eastern Sector",2016,"BUNN+",0
"459","Poritidae","Eastern Sector",2017,"BUNBR",0
"460","Poritidae","Eastern Sector",2017,"BUNN",0
"461","Poritidae","Eastern Sector",2017,"BUNN+",0
"462","Poritidae","Eastern Sector",2018,"BUNBR",0
"463","Poritidae","Eastern Sector",2018,"BUNN",0
"464","Poritidae","Eastern Sector",2018,"BUNN+",0
"465","Poritidae","Eastern Sector",2019,"BUNBR",0
"466","Poritidae","Eastern Sector",2019,"BUNN",0
"467","Poritidae","Eastern Sector",2019,"BUNN+",0
"468","Poritidae","Eastern Sector",2020,"BUNBR",0.0666666666666667
"469","Poritidae","Eastern Sector",2020,"BUNN",0
"470","Poritidae","Eastern Sector",2020,"BUNN+",0
"471","Poritidae","Eastern Sector",2021,"BUNBR",0.5
"472","Poritidae","Eastern Sector",2021,"BUNN",0
"473","Poritidae","Eastern Sector",2021,"BUNN+",0.133333333333333
"474","Poritidae","Northern Sector",2011,"JUR",0
"475","Poritidae","Northern Sector",2011,"TLC",0
"476","Poritidae","Northern Sector",2011,"TLSZ",0.133333333333333
"477","Poritidae","Northern Sector",2012,"JUR",0.466666666666667
"478","Poritidae","Northern Sector",2012,"TLC",0
"479","Poritidae","Northern Sector",2012,"TLSZ",1.2
"480","Poritidae","Northern Sector",2013,"JUR",0
"481","Poritidae","Northern Sector",2013,"TLC",0
"482","Poritidae","Northern Sector",2013,"TLSZ",0.0769230769230769
"483","Poritidae","Northern Sector",2014,"JUR",0.0666666666666667
"484","Poritidae","Northern Sector",2014,"TLC",0.0714285714285714
"485","Poritidae","Northern Sector",2014,"TLSZ",1.06666666666667
"486","Poritidae","Northern Sector",2015,"JUR",0
"487","Poritidae","Northern Sector",2015,"TLC",0
"488","Poritidae","Northern Sector",2015,"TLSZ",0.357142857142857
"489","Poritidae","Northern Sector",2016,"JUR",0
"490","Poritidae","Northern Sector",2016,"TLC",0
"491","Poritidae","Northern Sector",2016,"TLSZ",0.266666666666667
"492","Poritidae","Northern Sector",2017,"JUR",0.2
"493","Poritidae","Northern Sector",2017,"TLC",0
"494","Poritidae","Northern Sector",2017,"TLSZ",0.266666666666667
"495","Poritidae","Northern Sector",2018,"JUR",0.133333333333333
"496","Poritidae","Northern Sector",2018,"TLC",0.0666666666666667
"497","Poritidae","Northern Sector",2018,"TLSZ",0.266666666666667
"498","Poritidae","Northern Sector",2019,"JUR",0.333333333333333
"499","Poritidae","Northern Sector",2019,"TLC",0
"500","Poritidae","Northern Sector",2019,"TLSZ",0.466666666666667
"501","Poritidae","Northern Sector",2020,"JUR",0.666666666666667
"502","Poritidae","Northern Sector",2020,"TLC",0.133333333333333
"503","Poritidae","Northern Sector",2020,"TLSZ",1.53333333333333
"504","Poritidae","Northern Sector",2021,"JUR",0.769230769230769
"505","Poritidae","Northern Sector",2021,"TLC",0
"506","Poritidae","Northern Sector",2021,"TLSZ",1
"507","Poritidae","Southern Sector",2011,"CBBR",0
"508","Poritidae","Southern Sector",2011,"CBIL",0
"509","Poritidae","Southern Sector",2011,"CBLN",0
"510","Poritidae","Southern Sector",2011,"CBOB",0.2
"511","Poritidae","Southern Sector",2011,"CBSL",0
"512","Poritidae","Southern Sector",2012,"CBBR",0
"513","Poritidae","Southern Sector",2012,"CBIL",0
"514","Poritidae","Southern Sector",2012,"CBLN",0
"515","Poritidae","Southern Sector",2012,"CBOB",0.4
"516","Poritidae","Southern Sector",2013,"CBBR",0
"517","Poritidae","Southern Sector",2013,"CBIL",0.133333333333333
"518","Poritidae","Southern Sector",2013,"CBOB",0.466666666666667
"519","Poritidae","Southern Sector",2014,"CBBR",0
"520","Poritidae","Southern Sector",2014,"CBIL",0.133333333333333
"521","Poritidae","Southern Sector",2014,"CBLN",0
"522","Poritidae","Southern Sector",2014,"CBOB",0.466666666666667
"523","Poritidae","Southern Sector",2015,"CBBR",0
"524","Poritidae","Southern Sector",2015,"CBIL",0.0666666666666667
"525","Poritidae","Southern Sector",2015,"CBLN",0
"526","Poritidae","Southern Sector",2015,"CBOB",0
"527","Poritidae","Southern Sector",2016,"CBBR",0
"528","Poritidae","Southern Sector",2016,"CBIL",0.0666666666666667
"529","Poritidae","Southern Sector",2016,"CBLN",0
"530","Poritidae","Southern Sector",2016,"CBOB",0
"531","Poritidae","Southern Sector",2017,"CBBR",0
"532","Poritidae","Southern Sector",2017,"CBIL",0
"533","Poritidae","Southern Sector",2017,"CBLN",0
"534","Poritidae","Southern Sector",2017,"CBOB",0.0666666666666667
"535","Poritidae","Southern Sector",2018,"CBBR",0
"536","Poritidae","Southern Sector",2018,"CBIL",0
"537","Poritidae","Southern Sector",2018,"CBLN",0
"538","Poritidae","Southern Sector",2018,"CBOB",0
"539","Poritidae","Southern Sector",2019,"CBBR",0.0666666666666667
"540","Poritidae","Southern Sector",2019,"CBIL",0
"541","Poritidae","Southern Sector",2019,"CBLN",0.133333333333333
"542","Poritidae","Southern Sector",2019,"CBOB",0.0666666666666667
"543","Poritidae","Southern Sector",2020,"CBBR",0.166666666666667
"544","Poritidae","Southern Sector",2020,"CBIL",0.466666666666667
"545","Poritidae","Southern Sector",2020,"CBLN",0.0714285714285714
"546","Poritidae","Southern Sector",2020,"CBOB",0.133333333333333
"547","Poritidae","Southern Sector",2021,"CBBR",0.0714285714285714
"548","Poritidae","Southern Sector",2021,"CBIL",0.4
"549","Poritidae","Southern Sector",2021,"CBLN",0.133333333333333
"550","Poritidae","Southern Sector",2021,"CBOB",0.4
"551","Underdeveloped","Eastern Sector",2011,"BUNBR",0
"552","Underdeveloped","Eastern Sector",2011,"BUNN",0
"553","Underdeveloped","Eastern Sector",2011,"BUNN+",0
