"","sample","length","campaignid","scientific"
"161","NMP_20190804_MS-42_BRUV",407.43759,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"162","NMP_20190804_MS-42_BRUV",427.5271,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"163","NMP_20190804_MS-42_BRUV",426.42256,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"164","NMP_20190804_MS-42_BRUV",396.82298,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"165","NMP_20190804_MS-43_BRUV",553.07078,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"166","NMP_20190804_MS-43_BRUV",501.3635,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"167","NMP_20190804_MS-43_BRUV",505.28139,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"168","NMP_20190804_MS-43_BRUV",383.77261,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"169","NMP_20190804_MS-46_BRUV",575.09352,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"170","NMP_20190804_MS-46_BRUV",535.67426,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"171","NMP_20190804_MS-47_BRUV",612.37386,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"172","NMP_20190804_MS-55_BRUV",324.00692,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"173","NMP_20190804_MS-55_BRUV",329.4168,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"174","NMP_20190804_MS-55_BRUV",366.58333,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"175","NMP_20190804_MS-55_BRUV",335.0171,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"176","NMP_20190804_MS-55_BRUV",301.28531,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"177","NMP_20190805_MF-63_BRUV",501.26139,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"178","NMP_20190805_MF-65_BRUV",496.45484,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"179","NMP_20190805_MF-66_BRUV",442.62947,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"180","NMP_20190805_MF-66_BRUV",499.62598,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"181","NMP_20190805_MF-66_BRUV",389.20378,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"182","NMP_20190805_MF-66_BRUV",406.41088,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"183","NMP_20190805_MF-66_BRUV",513.24068,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"184","NMP_20190805_MF-66_BRUV",417.78625,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"185","NMP_20190805_MF-69_BRUV",568.00359,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"186","NMP_20190805_OS-5_BRUV",614.7697,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"187","NMP_20190805_OS-6_BRUV",557.63543,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"188","NMP_20190805_OS-6_BRUV",584.29697,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"189","NMP_20190805_OS-7_BRUV",543.27188,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"190","NMP_20190805_OS-8_BRUV",355.59023,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"191","NMP_20190805_OS-8_BRUV",328.77819,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"192","NMP_20190805_OS-8_BRUV",311.46523,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"193","NMP_20190805_OS-8_BRUV",454.00474,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"194","NMP_20190805_OS-8_BRUV",465.21564,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"195","NMP_20190805_OS-8_BRUV",416.70554,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"196","NMP_20190805_OS-8_BRUV",385.91196,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"197","NMP_20190805_OS-11_BRUV",493.99558,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"198","NMP_20190805_OS-11_BRUV",411.34866,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"199","NMP_20190805_OS-11_BRUV",451.67289,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"200","NMP_20190805_OS-11_BRUV",355.49156,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"201","NMP_20190805_OS-15_BRUV",429.38702,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"202","NMP_20190805_OS-15_BRUV",381.84817,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"203","NMP_20190805_OS-15_BRUV",301.22722,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"204","NMP_20190805_OS-15_BRUV",299.76764,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"205","NMP_20190805_OS-15_BRUV",315.97382,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"206","NMP_20190805_OS-15_BRUV",285.25723,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"207","NMP_20190805_OS-20_BRUV",403.2196,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"208","NMP_20190805_OF-25_BRUV",382.67095,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"209","NMP_20190805_OF-25_BRUV",444.9339,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"210","NMP_20190805_OF-26_BRUV",391.4393,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"211","NMP_20190805_OF-30_BRUV",555.83236,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"212","NMP_20190805_OF-30_BRUV",548.50591,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"213","NMP_20190806_OF-31_BRUV",531.20635,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"214","NMP_20190806_OF-34_BRUV",532.33203,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"215","NMP_20190806_OF-34_BRUV",504.05588,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"216","NMP_20190806_OF-34_BRUV",524.79212,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
"217","NMP_20190806_OF-34_BRUV",504.5981,"2019-08_Ningaloo.MP.Monitoring_stereoBRUVs","Lethrinus nebulosus"
